BOUTON : Etage 0, No. 0, Temps: 0
PORTES : Etage 0, No. 0, Temps: 2
BOUTON : Etage 4, No. 1, Temps: 3
DEPART : Etage 0, No. 1, Temps: 5
DEPART : Etage 0, No. 0, Temps: 7
ARRIVEE: Etage 1, No. 1, Temps: 7
ARRIVEE: Etage 1, No. 0, Temps: 9
ARRIVEE: Etage 2, No. 0, Temps: 11
BOUTON : Etage 0, No. 2, Temps: 12
PORTES : Etage 1, No. 1, Temps: 12
ARRIVEE: Etage 3, No. 0, Temps: 13
DEPART : Etage 0, No. 2, Temps: 14
DEPART : Etage 1, No. 1, Temps: 14
ARRIVEE: Etage 4, No. 0, Temps: 15
ARRIVEE: Etage 1, No. 2, Temps: 16
ARRIVEE: Etage 2, No. 1, Temps: 16
DEPART : Etage 1, No. 1, Temps: 17
ARRIVEE: Etage 1, No. 1, Temps: 19
PORTES : Etage 4, No. 0, Temps: 20
PORTES : Etage 1, No. 2, Temps: 21
PORTES : Etage 2, No. 1, Temps: 21
DEPART : Etage 1, No. 2, Temps: 23
DEPART : Etage 1, No. 1, Temps: 23
PORTES : Etage 1, No. 1, Temps: 24
DEPART : Etage 4, No. 0, Temps: 25
ARRIVEE: Etage 0, No. 2, Temps: 25
ARRIVEE: Etage 0, No. 1, Temps: 25
DEPART : Etage 1, No. 2, Temps: 26
DEPART : Etage 1, No. 1, Temps: 26
ARRIVEE: Etage 3, No. 0, Temps: 27
BOUTON : Etage 3, No. 3, Temps: 28
ARRIVEE: Etage 0, No. 2, Temps: 28
ARRIVEE: Etage 0, No. 1, Temps: 28
DEPART : Etage 1, No. 1, Temps: 29
ARRIVEE: Etage 2, No. 0, Temps: 29
PORTES : Etage 0, No. 2, Temps: 30
PORTES : Etage 0, No. 1, Temps: 30
DEPART : Etage 0, No. 1, Temps: 30
ARRIVEE: Etage 0, No. 1, Temps: 31
ARRIVEE: Etage 1, No. 0, Temps: 31
DEPART : Etage 0, No. 1, Temps: 32
ARRIVEE: Etage 1, No. 1, Temps: 32
PORTES : Etage 0, No. 2, Temps: 33
PORTES : Etage 0, No. 1, Temps: 33
ARRIVEE: Etage 0, No. 1, Temps: 34
DEPART : Etage 0, No. 2, Temps: 35
DEPART : Etage 0, No. 1, Temps: 35
DEPART : Etage 1, No. 1, Temps: 35
PORTES : Etage 0, No. 1, Temps: 36
PORTES : Etage 1, No. 0, Temps: 36
PORTES : Etage 1, No. 1, Temps: 37
ARRIVEE: Etage 1, No. 2, Temps: 37
ARRIVEE: Etage 0, No. 1, Temps: 37
ARRIVEE: Etage 0, No. 1, Temps: 37
DEPART : Etage 0, No. 2, Temps: 38
DEPART : Etage 1, No. 1, Temps: 38
DEPART : Etage 0, No. 1, Temps: 38
DEPART : Etage 1, No. 0, Temps: 38
PORTES : Etage 0, No. 1, Temps: 39
DEPART : Etage 0, No. 1, Temps: 39
ARRIVEE: Etage 2, No. 2, Temps: 39
ARRIVEE: Etage 2, No. 2, Temps: 40
ARRIVEE: Etage 0, No. 1, Temps: 40
ARRIVEE: Etage 0, No. 1, Temps: 40
ARRIVEE: Etage 2, No. 0, Temps: 40
DEPART : Etage 0, No. 1, Temps: 41
DEPART : Etage 1, No. 0, Temps: 41
DEPART : Etage 0, No. 1, Temps: 41
ARRIVEE: Etage 1, No. 1, Temps: 41
ARRIVEE: Etage 3, No. 2, Temps: 41
DEPART : Etage 0, No. 1, Temps: 42
PORTES : Etage 0, No. 1, Temps: 42
PORTES : Etage 0, No. 1, Temps: 42
ARRIVEE: Etage 3, No. 2, Temps: 42
ARRIVEE: Etage 0, No. 1, Temps: 43
ARRIVEE: Etage 1, No. 0, Temps: 43
ARRIVEE: Etage 0, No. 1, Temps: 43
ARRIVEE: Etage 4, No. 2, Temps: 43
DEPART : Etage 0, No. 1, Temps: 44
ARRIVEE: Etage 0, No. 1, Temps: 44
DEPART : Etage 1, No. 1, Temps: 44
DEPART : Etage 1, No. 1, Temps: 44
ARRIVEE: Etage 4, No. 2, Temps: 44
BOUTON : Etage 3, No. 4, Temps: 45
PORTES : Etage 0, No. 1, Temps: 45
PORTES : Etage 0, No. 1, Temps: 45
PORTES : Etage 2, No. 0, Temps: 45
ARRIVEE: Etage 5, No. 2, Temps: 45
PORTES : Etage 1, No. 1, Temps: 46
ARRIVEE: Etage 0, No. 1, Temps: 46
ARRIVEE: Etage 0, No. 1, Temps: 46
ARRIVEE: Etage 0, No. 1, Temps: 46
ARRIVEE: Etage 5, No. 2, Temps: 46
DEPART : Etage 1, No. 1, Temps: 47
DEPART : Etage 1, No. 1, Temps: 47
DEPART : Etage 0, No. 1, Temps: 47
DEPART : Etage 0, No. 1, Temps: 47
DEPART : Etage 1, No. 0, Temps: 47
PORTES : Etage 0, No. 1, Temps: 48
PORTES : Etage 1, No. 0, Temps: 48
PORTES : Etage 0, No. 1, Temps: 48
DEPART : Etage 0, No. 1, Temps: 48
PORTES : Etage 0, No. 1, Temps: 49
ARRIVEE: Etage 0, No. 1, Temps: 49
